
=== Scan started: 2026-03-09 20:38:13 ===
Target: localhost (127.0.0.1)
Ports: 1-500

Port   189 | closed/timeout | Service: N/A
Port   190 | closed/timeout | Service: N/A
Port   149 | closed/timeout | Service: N/A
Port   198 | closed/timeout | Service: N/A
Port   165 | closed/timeout | Service: N/A
Port   148 | closed/timeout | Service: N/A
Port   157 | closed/timeout | Service: N/A
Port   162 | closed/timeout | Service: N/A
Port   153 | closed/timeout | Service: N/A
Port   154 | closed/timeout | Service: N/A
Port   169 | closed/timeout | Service: N/A
Port   175 | closed/timeout | Service: N/A
Port   176 | closed/timeout | Service: N/A
Port   187 | closed/timeout | Service: N/A
Port   197 | closed/timeout | Service: N/A
Port   196 | closed/timeout | Service: N/A
Port   199 | closed/timeout | Service: N/A
Port   156 | closed/timeout | Service: N/A
Port   158 | closed/timeout | Service: N/A
Port   181 | closed/timeout | Service: N/A
Port   179 | closed/timeout | Service: N/A
Port   182 | closed/timeout | Service: N/A
Port   183 | closed/timeout | Service: N/A
Port   168 | closed/timeout | Service: N/A
Port   167 | closed/timeout | Service: N/A
Port   171 | closed/timeout | Service: N/A
Port   172 | closed/timeout | Service: N/A
Port   173 | closed/timeout | Service: N/A
Port   188 | closed/timeout | Service: N/A
Port   195 | closed/timeout | Service: N/A
Port   191 | closed/timeout | Service: N/A
Port   201 | closed/timeout | Service: N/A
Port   166 | closed/timeout | Service: N/A
Port   161 | closed/timeout | Service: N/A
Port   160 | closed/timeout | Service: N/A
Port   151 | closed/timeout | Service: N/A
Port   163 | closed/timeout | Service: N/A
Port   184 | closed/timeout | Service: N/A
Port   177 | closed/timeout | Service: N/A
Port   192 | closed/timeout | Service: N/A
Port   200 | closed/timeout | Service: N/A
Port   178 | closed/timeout | Service: N/A
Port   193 | closed/timeout | Service: N/A
Port   194 | closed/timeout | Service: N/A
Port   202 | closed/timeout | Service: N/A
Port   204 | closed/timeout | Service: N/A
Port   207 | closed/timeout | Service: N/A
Port   239 | closed/timeout | Service: N/A
Port   228 | closed/timeout | Service: N/A
Port   221 | closed/timeout | Service: N/A
Port   215 | closed/timeout | Service: N/A
Port   222 | closed/timeout | Service: N/A
Port   206 | closed/timeout | Service: N/A
Port   227 | closed/timeout | Service: N/A
Port   244 | closed/timeout | Service: N/A
Port   238 | closed/timeout | Service: N/A
Port   242 | closed/timeout | Service: N/A
Port   223 | closed/timeout | Service: N/A
Port   208 | closed/timeout | Service: N/A
Port   214 | closed/timeout | Service: N/A
Port   240 | closed/timeout | Service: N/A
Port   210 | closed/timeout | Service: N/A
Port   209 | closed/timeout | Service: N/A
Port   219 | closed/timeout | Service: N/A
Port   226 | closed/timeout | Service: N/A
Port   212 | closed/timeout | Service: N/A
Port   236 | closed/timeout | Service: N/A
Port   233 | closed/timeout | Service: N/A
Port   216 | closed/timeout | Service: N/A
Port   229 | closed/timeout | Service: N/A
Port   213 | closed/timeout | Service: N/A
Port   230 | closed/timeout | Service: N/A
Port   237 | closed/timeout | Service: N/A
Port   217 | closed/timeout | Service: N/A
Port   232 | closed/timeout | Service: N/A
